PDB	N	DeltaG	deltaH	TdeltaS	Kd	MoleWeight	AvMass	MomoisMass	NomMass	AlogP	XlogP	H_acceptors	H_donors	FreelyRotBonds	RuleOf5Violations	PolarSurfaceArea	Polarizability	RefractionIndex	MolarRefractivity	Surface_Tension	Molar_Volume	
1a30		-26.54	-15.06	11.48	22.22	375.3743	375.3743	375.164154	375.0	0.0	0.0	11	7	12	2	196	34.4	1.539	86.9	62.5	277.1	
1b05		-40.6	7.9	48.2	0.08	377.5027	377.5027	377.209686	377.0	0.0	0.0	9	9	14	1	212	39.1	1.552	98.7	56.8	308.8	
1b32		-40.5	14.6	54.9	0.08	405.5559	405.5559	405.240967	405.0	0.0	0.0	9	9	16	1	199	42.9	1.545	108.1	53.9	341.8	
1b3f		-39.3	20.6	59.8	0.13	411.4991	411.4991	411.259399	411.0	0.0	-4.3	11	10	15	2	202	42.8	1.574	107.8	63.1	327.0	
1b3g		-38.3	20.5	58.6	0.2	387.5175	387.5175	387.284546	387.0	0.0	0.0	9	9	15	1	174	41.5	1.519	104.7	49.2	344.7	
1b3l		-33.6	14.1	47.5	1.3	331.4112	331.4112	331.221954	331.0	0.0	0.0	9	9	13	1	174	34.2	1.533	86.2	55.6	277.9	
1b40		-41.5	22	63.2	0.05	421.5337	421.5337	421.26889	421.0	0.0	0.0	9	9	15	1	174	45.7	1.562	115.3	55.0	355.5	
1b46		-30.1	16.6	46.5	5.2	371.475	371.475	371.253265	371.0	0.0	-3.5	9	8	12	1	165	38.8	1.552	97.8	60.0	306.1	
1b4z		-29.8	8.1	37.7	5.9	389.4472	389.4472	389.227448	389.0	0.0	-4.6	11	10	15	2	211	38.5	1.547	97.0	61.8	305.9	
1b51		-42.0	8.9	50.6	0.04	361.4371	361.4371	361.232513	361.0	0.0	0.0	10	10	14	2	194	36.6	1.545	92.4	59.8	292.3	
1b52		-40.6	17.3	57.6	0.08	375.4637	375.4637	375.248169	375.0	0.0	0.0	10	10	14	2	194	38.4	1.540	97.0	57.1	309.2	
1b58		-37.5	20.7	57.9	0.26	437.5331	437.5331	437.263824	437.0	-1.98	-2.6	10	10	15	2	194	46.5	1.577	117.2	59.5	353.9	
1b5i		-40.2	7.7	47.9	0.09	388.4625	388.4625	388.243408	388.0	0.0	0.0	11	11	15	2	217	39.3	1.547	99.0	60.4	312.1	
1b5j		-42.4	11.4	53.4	0.04	402.4891	402.4891	402.259064	402.0	0.0	0.0	11	11	16	2	217	41.1	1.544	103.7	58.7	328.6	
1b9j		-33.9	24.6	58.3	1.1	387.5175	387.5175	387.284546	387.0	0.0	0.0	9	9	15	1	174	41.5	1.519	104.7	49.2	344.7	
1bbz		-32.22	-91.62	-59.41		96.0637	96.0637	95.952827	96.0	0.0	0.0	4	2	0	0	89						
1bgq		-48.9	-22.8	26.09	0.0	330.3319	330.3319	330.110352	330.0	0.0	0.0	6	2	0	0	96	33.5	1.576	84.5	48.5	255.4	
1ce5		-26.6	-18.9	7.7	22.22	120.1518	120.1518	120.068748	120.0	0.0	1.6	2	3	1	0	50	14.3	1.570	36.1	44.5	110.0	
1HPV		-55.65	-28.03	27.61	170	505.6269	505.6269	505.22467	505.0	0.0	1.8	9	4	12	1	143	52.7	1.602	132.9	50.4	387.4	
1HWI		-37.66	0	37.66		411.4659	411.4659	411.184601	411.0	0.0	4.5	5	3	8	0	83	44.5	1.587	112.4	43.5	334.2	
1HWJ		-47.70	-13.81	33.89		461.5661432	461.5661	461.257751	461.0	0.0	3.3	6	3	12	0	100	49.9	1.546	125.9	45.9	397.2	
1HWK		-45.61	-17.99	27.61		558.6398	558.6398	558.252991	558.0	0.0	0.0	7	4	12	1	115	61.5	1.603	155.2	46.0	451.9	
1hwl		-51.46	-38.91	12.55		483.5535032	483.5535	483.183929	483.0	0.0	2.3	9	3	11	0	149	47.6	1.581	120.1	59.8	360.2	
1i8a	0.75	-20.19	-31.18	-11.37	333.33	180.1559	180.1559	180.063385	180.0	0.0	0.0	6	5	1	1	110	14.8	1.635	37.3	81.8	104.0	
1jet		-41.1	20.1	61.1	0.06	345.4377	345.4377	345.23761	345.0	0.0	0.0	9	9	13	1	174	36.0	1.528	90.8	53.2	294.8	
1jeu		-38.9	11.3	50.0	0.15	403.4738	403.4738	403.243073	403.0	0.0	0.0	11	10	16	2	211	40.3	1.543	101.7	60.0	322.4	
1jev		-39.2	29.3	68.2	0.13	460.5697	460.5697	460.279816	460.0	0.0	-2.2	10	10	15	2	189	50.6	1.610	127.6	61.8	367.9	
1k1l		-40.8	-32.9	7.9	0.07	348.3984	348.3984	348.15863	348.0	0.0	0.0	6	0	5	0	60	38.9	1.611	98.1	55.9	282.4	
1MSM		-62.34	-33.47	28.87	11	575.7183	575.7183	575.245361	575.0	0.0	4.4	8	4	9	2	144	63.9	1.623	161.3	56.2	457.4	
1odi	0.58	-23.88	-96.23	-72.35	62.11	267.2413	267.2413	267.096741	267.0	0.0	-1.6	9	5	2	1	140	23.8	1.907	60.0	107.6	128.2	
1odj	0.51	-23.56	-99.16	-75.6	80.0	283.2407	283.2407	283.091675	283.0	0.0	0.0	10	6	2	2	155	24.1	1.955	60.8	123.8	125.4	
1oif	0.36	-42.26	-31	11.21	0.06	147.1723	147.1723	147.089539	147.0	0.0	-1.6	4	4	1	0	73	14.2	1.535	35.8	51.1	115.0	
1oim	0.38	-26.74	-26.44	0.38	23.26	163.1717	163.1717	163.084457	163.0	0.0	-2.2	5	5	1	1	93	14.8	1.582	37.4	61.9	112.0	
1qka		-33.8	36.0	69.7	1.2	430.5455	430.5455	430.301605	430.0	0.0	0.0	12	13	18	2	235	42.7	1.613	107.6	61.7	309.3	
1qkb		-41.9	22.4	64.3	0.05	373.4909	373.4909	373.26889	373.0	0.0	0.0	9	9	14	1	174	39.7	1.522	100.1	50.1	328.2	
1sre	1.12	-22.05	7.11	29.16	137.08	242.2301	242.2301	242.069138	242.0	0.0	0.0	5	2	3	0	82	26.2	1.627	66.0	53.4	186.2	
1srg	1.13	-30.25	5.36	35.61	5	256.2567	256.2567	256.084778	256.0	0.0	0.0	5	2	3	0	82	27.9	1.617	70.4	49.5	201.4	
1sri	1.0	-34.69	9.0	43.68	0.83	270.2833	270.2833	270.100433	270.0	0.0	0.0	5	2	3	0	82	29.7	1.608	74.9	46.4	216.6	
1swg		-42.26	-56.07	-13.81	0.04	244.3106	244.3106	244.088165	244.0	0.0	0.0	5	3	5	0	107	23.8	1.717	60.0	67.6	152.4	
1tlg		-19.1	-77.8	-58.68	440.0	180.1559	180.1559	180.063385	180.0	0.0	-2.3	6	5	1	1	110	14.8	1.635	37.3	81.8	104.0	
1u87		-28.22	-28.72	-0.5	11.42	307.3235	307.3235	307.083801	307.0	0.0	-6.4	9	6	9	1	198	27.8	1.572	70.1	69.4	213.2	
1u88		-32.55	-30.4	2.15	1.96	419.53612	419.5361	419.209015	419.0	-0.83	-2.5	9	6	17	1	184	42.5	1.534	107.3	53.2	345.2	
1UZ1		-37.31	-56.69	-19.37	0.29	161.1558	161.1558	161.068802	161.0	0.0	-1.7	5	4	1	0	90	14.3	1.558	35.9	67.0	111.5	
1VTK		-70.29	-138.49	-68.2		322.2085	322.2085	322.05661	322.0	0.0	-3.0	10	4	4	1	159	25.8	1.700	65.1	92.2	168.4	
2CBU		-32.38	-25.48	6.9	2.1	189.209	189.209	189.100113	189.0	0.0	-2.0	5	4	0	0	84	17.8	1.647	44.9	85.4	123.5	
2CBV		-31.3	-12.3	19	3.3	175.1824	175.1824	175.084457	175.0	0.0	-1.5	5	5	0	1	93	15.8	1.715	39.9	88.4	101.7	
2CES		-41.42	-37.49	3.93	0.056	200.1919	200.1919	200.079712	200.0	0.0	-3.6	6	4	1	0	99	17.7	1.757	44.7	84.3	109.0	
2CET		-45.73	-19.41	26.32	0.0096	304.341	304.341	304.142303	304.0	0.0	-1.3	6	4	4	0	99	31.3	1.680	79.1	60.8	209.3	
2J75		-34.26	-38.03	-3.77	0.225	163.1717	163.1717	163.084457	163.0	0.0	-1.9	5	5	1	1	93	14.8	1.582	37.4	61.9	112.0	
2J77		-27.9	-19.24	8.66	12.9	163.1717	163.1717	163.084457	163.0	0.0	-2.2	5	5	1	1	93	14.8	1.582	37.4	61.9	112.0	
2J78		-36.61	-29.37	7.24	0.384	192.1699	192.1699	192.074615	192.0	0.0	-2.0	7	6	1	1	126	15.1	1.718	38.0	92.3	96.5	
2J79		-34.05	-24.01	10.04	1.1	192.1699	192.1699	192.074615	192.0	0.0	-2.0	7	6	2	1	126	15.1	1.718	38.0	92.3	96.5	
2J7B		-37.78	-47.36	-9.58	0.24	202.168	202.168	202.070206	202.0	0.0	-3.6	8	4	1	0	125	16.5	1.949	41.6	132.4	86.2	
2J7C		-45.44	-35.31	10.13	0.0108	305.3291	305.3291	305.137543	305.0	0.0	-1.9	7	5	4	1	111	30.7	1.712	77.5	66.6	197.9	
2J7D		-40.84	-31.34	9.5	0.074	260.2438	260.2438	260.10083	260.0	0.0	0.0	8	5	3	1	128	22.2	1.705	56.0	75.3	144.2	
2J7E		-41.75	-36.9	4.85	0.048	272.2545	272.2545	272.10083	272.0	0.0	-3.5	8	4	4	0	125	24.0	1.681	60.6	69.9	160.3	
2J7F		-36.23	-37.57	-1.34	0.445	244.2014	244.2014	244.069534	244.0	0.0	-5.8	8	5	2	1	136	20.2	1.797	51.0	101.6	119.7	
2J7G		-39.96	-44.81	-4.85	0.1	258.228	258.228	258.085175	258.0	0.0	-3.8	8	5	3	1	136	22.1	1.756	55.7	90.3	135.8	
2J7H		-37.57	-46.02	-8.45	0.065	148.1604	148.1604	148.084793	148.0	0.0	-1.3	5	5	1	1	85	13.7	1.535	34.6	53.5	111.1	
2olb		-31.6	39.4	70.8	2.9	402.53212	402.5321	402.295441	402.0	-2.59	-3.8	10	11	17	2	200	42.9	1.535	108.3	54.2	348.0	
2OV4		-27.45	3.56	31.17	0.0018	587.1609	587.1609	586.962097	587.0	0.0	-6.8	21	9	10	3	365	39.5	1.904	99.8	220.9	213.7	
2UXI		-42.68	-63.18	-20.50	0.5	274.2687	274.2687	274.084137	274.0	2.23	0.0	5	4	4	0	98	28.9	1.685	72.9	74.9	191.9	
2UXU		-27.61	-45.19	-17.57	18	272.2528	272.2528	272.068481	272.0	0.0	0.0	5	3	1	0	87	27.9	1.693	70.3	72.9	183.3	
3mbp	1.09	-34.89	9.75	44.66	0.77	15.9994	15.9994	15.994915	16.0	0.0	0.0	1	2	0	0	0	1.5	1.329	3.7	72.3	18.0	
3ptb		-26.6	-18.9	7.7	22.22	120.1518	120.1518	120.068748	120.0	0.0	1.6	2	3	1	0	50	14.3	1.570	36.1	44.5	110.0	
4rsk	1.0	-25.52	-42.26	-17.15	47.0	324.1813	324.1813	324.035858	324.0	0.0	-4.2	11	5	4	2	176	25.2	1.659	63.6	108.1	172.4	
