PDB	N	DeltaG	deltaH	TdeltaS	Kd	HBondsNo	Polar_Contacts	Apolar_Contacts	Polar_Water_Contacts	Apolar_Water_Contacts	Surface_Waters	Cleft_Waters	Buried_Waters	
1a08		-32.64	-21.34	11.23	2.4	5	12.0	52.0	-35.0	-38.3	33.2	0.0	0.0	
1a1b		-37.24	-17.99	19.09	0.4	5	10.0	40.0	-27.6	-36.1	37.8	0.4	0.0	
1a1c		-36.82	-29.71	7.11	0.4	6	10.0	46.0	-30.8	-29.7	32.8	0.8	0.0	
1a1e		-35.15	-22.59	12.47	1.0	5	14.0	46.0	-29.4	-36.4	32.6	0.0	0.0	
1a30		-26.54	-15.06	11.48	22.22	5	12.0	54.0	-35.9	-48.2	42.9	1.4	0.0	
1anf	1.07	-33.72	11.8	45.53	1.23	18.0	102.0	-48.9	-55.6	19.7	1.0	12.0		
1anf	1.07	-34.06	11.51	45.53	1.08	18.0	102.0	-48.9	-55.6	19.7	1.0	12.0		
1b05		-40.6	7.9	48.2	0.08	16	22.0	130.0	-45.9	-70.7	23.8	3.7	15.1	
1b32		-40.5	14.6	54.9	0.08	14	24.0	150.0	-54.7	-88.3	170.7	5.8	33.5	
1b3f		-39.3	20.6	59.8	0.13	11	32.0	206.0	-58.3	-80.2	77.0	9.1	13.0	
1b3g		-38.3	20.5	58.6	0.2	14	22.0	144.0	-48.3	-88.6	98.0	10.0	26.4	
1b3l		-33.6	14.1	47.5	1.3	13	22.0	124.0	-53.6	-68.6	7.9	5.5	8.9	
1b40		-41.5	22	63.2	0.05	11	20.0	160.0	-46.2	-87.9	25.5	2.0	15.1	
1b46		-30.1	16.6	46.5	5.2	13	22.0	132.0	-55.2	-70.3	48.0	4.0	17.5	
1b4z		-29.8	8.1	37.7	5.9	15	24.0	138.0	-57.8	-73.2	65.4	8.6	20.5	
1b51		-42.0	8.9	50.6	0.04	12	22.0	132.0	-56.3	-74.6	131.0	24.0	16.0	
1b52		-40.6	17.3	57.6	0.08	15	20.0	138.0	-54.7	-71.0	11.7	8.6	8.4	
1b58		-37.5	20.7	57.9	0.26	13	24.0	158.0	-54.7	-77.9	66.0	6.0	17.7	
1b5i		-40.2	7.7	47.9	0.09	14	22.0	136.0	-56.1	-73.6	39.7	5.4	15.5	
